,ReportDateTime,Country,Indicator,FullName,Period,Value
142,1999-04-01 04:00:00,Mexico,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,18.26
143,1999-04-01 04:00:00,Sweden,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,0.1
144,1999-04-01 04:00:00,Italy,CPI (YoY),Italian CPI (YoY) (Mar),1999-03-01 00:00:00,1.3
145,1999-04-01 04:00:00,Korea,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,0.5
146,1999-04-01 04:00:00,Switzerland,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,0.5
147,1999-04-01 04:00:00,Germany,CPI (YoY),German CPI (YoY) (Mar),1999-03-01 00:00:00,0.2
148,1999-04-01 04:00:00,Netherlands,CPI (YoY),Dutch CPI (YoY) (Mar),1999-03-01 00:00:00,2.2
149,1999-04-01 04:00:00,Spain,CPI (YoY),Spanish CPI (YoY) (Mar),1999-03-01 00:00:00,2.2
150,1999-04-01 04:00:00,Brazil,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,3.02
152,1999-04-01 04:00:00,Ireland,CPI (YoY),Irish CPI (YoY) (Mar),1999-03-01 00:00:00,1.42
153,1999-04-01 04:00:00,Belgium,CPI (YoY),Belgium CPI (YoY) (Mar),1999-03-01 00:00:00,1.21
155,1999-04-01 04:00:00,Japan,CPI (YoY),National CPI (YoY) (Mar),1999-03-01 00:00:00,-0.4
158,1999-04-01 04:00:00,Singapore,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,-0.52
159,1999-04-01 04:00:00,China,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,-1.8
160,1999-04-01 04:00:00,Hong Kong,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,-2.6
161,1999-04-01 04:00:00,Taiwan,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,-0.47
163,1999-04-01 04:00:00,Poland,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,6.2
164,1999-04-01 04:00:00,Russia,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,107.5
165,1999-04-01 04:00:00,Norway,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,2.3
166,1999-04-01 04:00:00,Turkiye,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,63.5
168,1999-04-01 04:00:00,Eurozone,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,1.0
169,1999-04-01 04:00:00,South Africa,CPI (YoY),CPI (YoY) (Mar),1999-03-01 00:00:00,7.83
