,ReportDateTime,Country,Indicator,FullName,Period,Value
79,1999-07-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,-1.65
80,1999-07-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,-3.2
81,1999-07-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,-1.9
82,1999-07-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Jun),1999-06-01 00:00:00,-1.5
83,1999-07-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,-1.8
84,1999-07-01 04:00:00,China,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,-3.6
85,1999-07-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,5.2
86,1999-07-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,50.33
87,1999-07-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,-1.1
88,1999-07-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Jun),1999-06-01 00:00:00,0.5
89,1999-07-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Jun),1999-06-01 00:00:00,-4.0
90,1999-08-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,0.3
91,1999-08-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Jul),1999-07-01 00:00:00,-2.83
93,1999-08-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,-1.1
94,1999-08-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,-2.9
95,1999-08-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,-1.6
96,1999-08-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Jul),1999-07-01 00:00:00,-1.0
97,1999-08-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,-1.4
98,1999-08-01 04:00:00,China,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,-2.5
99,1999-08-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,5.5
100,1999-08-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,52.44
101,1999-08-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Jul),1999-07-01 00:00:00,-0.4
103,1999-09-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,-0.44
104,1999-09-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Aug),1999-08-01 00:00:00,0.0
105,1999-09-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,-1.6
106,1999-09-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,-1.0
107,1999-09-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Aug),1999-08-01 00:00:00,-0.7
108,1999-09-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,-1.2
109,1999-09-01 04:00:00,China,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,-2.3
110,1999-09-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,5.9
111,1999-09-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,53.72
112,1999-09-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,0.1
113,1999-09-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Aug),1999-08-01 00:00:00,1.3
114,1999-09-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Aug),1999-08-01 00:00:00,-1.97
115,1999-10-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,1.2
116,1999-10-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Sep),1999-09-01 00:00:00,-1.78
118,1999-10-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,-0.11
119,1999-10-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,-1.2
120,1999-10-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,-0.3
121,1999-10-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Sep),1999-09-01 00:00:00,-0.5
122,1999-10-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,-1.2
123,1999-10-01 04:00:00,China,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,-2.1
124,1999-10-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,6.2
125,1999-10-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,54.45
126,1999-10-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Sep),1999-09-01 00:00:00,0.6
128,1999-11-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,0.33
129,1999-11-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Oct),1999-10-01 00:00:00,1.5
130,1999-11-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,-0.2
131,1999-11-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,0.2
132,1999-11-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Oct),1999-10-01 00:00:00,0.2
133,1999-11-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,-0.6
134,1999-11-01 04:00:00,China,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,-0.7
135,1999-11-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,6.8
136,1999-11-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,55.22
137,1999-11-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,1.3
138,1999-11-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Oct),1999-10-01 00:00:00,1.9
139,1999-11-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Oct),1999-10-01 00:00:00,-0.3
140,1999-12-01 04:00:00,Czechia,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,2.3
141,1999-12-01 04:00:00,Finland,PPI (YoY),Finnish PPI (YoY) (Nov),1999-11-01 00:00:00,1.82
143,1999-12-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,0.99
144,1999-12-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Nov),1999-11-01 00:00:00,2.2
145,1999-12-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,0.6
146,1999-12-01 04:00:00,Switzerland,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,0.6
147,1999-12-01 04:00:00,Germany,PPI (YoY),German PPI (YoY) (Nov),1999-11-01 00:00:00,0.7
148,1999-12-01 04:00:00,Japan,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,-0.4
149,1999-12-01 04:00:00,China,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,-1.0
150,1999-12-01 04:00:00,Poland,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,7.5
151,1999-12-01 04:00:00,Turkiye,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,56.25
152,1999-12-01 04:00:00,Eurozone,PPI (YoY),PPI (YoY) (Nov),1999-11-01 00:00:00,1.9
154,2000-01-01 04:00:00,Sweden,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,1.76
155,2000-01-01 04:00:00,Italy,PPI (YoY),Italian PPI (YoY) (Dec),1999-12-01 00:00:00,2.8
156,2000-01-01 04:00:00,Korea,PPI (YoY),PPI (YoY) (Dec),1999-12-01 00:00:00,0.9
