,ReportDateTime,Country,Indicator,FullName,Period,Value
3821,2018-02-01 03:00:00,Norway,Manufacturing PMI,Manufacturing PMI (Jan),2018-01-01,59.0
3822,2018-02-01 03:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Jan),2018-01-01,60.9
3823,2018-02-01 03:15:00,Spain,Manufacturing PMI,HCOB Spain Manufacturing PMI (Jan),2018-01-01,55.2
3824,2018-02-01 03:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Jan),2018-01-01,65.3
3825,2018-02-01 03:45:00,Italy,Manufacturing PMI,HCOB Italy Manufacturing PMI (Jan),2018-01-01,59.0
3826,2018-02-01 03:50:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Jan),2018-01-01,58.4
3827,2018-02-01 03:55:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Jan),2018-01-01,61.1
3828,2018-02-01 04:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Jan),2018-01-01,59.6
3829,2018-02-01 04:00:00,South Africa,Manufacturing PMI,Manufacturing PMI,2018-01-01,49.9
3830,2018-02-01 04:00:00,Greece,Manufacturing PMI,S&P Global Greece Manufacturing PMI (Jan),2018-01-01,55.2
3831,2018-02-01 04:30:00,United Kingdom,Manufacturing PMI,S&P Global/CIPS UK Manufacturing PMI (Jan),2018-01-01,55.3
3832,2018-02-01 07:00:00,Brazil,Manufacturing PMI,S&P Global Manufacturing PMI (Jan),2018-01-01,51.2
3833,2018-02-01 09:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Jan),2018-01-01,55.5
3835,2018-02-01 10:30:00,Mexico,Manufacturing PMI,S&P Global Mexico Manufacturing PMI (Jan),2018-01-01,52.6
3836,2018-02-04 19:30:00,Hong Kong,Manufacturing PMI,S&P Global Hong Kong Manufacturing PMI (Jan),2018-01-01,51.1
3838,2018-02-20 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Feb),2018-02-01,54.0
3839,2018-02-21 03:00:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Feb),2018-02-01,56.1
3840,2018-02-21 03:30:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Feb),2018-02-01,60.3
3841,2018-02-21 04:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Feb),2018-02-01,58.5
3842,2018-02-21 09:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Feb),2018-02-01,55.9
3843,2018-02-26 04:00:00,Austria,Manufacturing PMI,Unicredit Bank Austria Manufacturing PMI (Feb),2018-02-01,59.2
3844,2018-02-27 20:00:00,China,Manufacturing PMI,Manufacturing PMI (Feb),2018-02-01,50.3
3846,2018-02-28 00:00:00,India,Manufacturing PMI,S&P Global India Manufacturing PMI (Feb),2018-02-01,52.1
3847,2018-02-28 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Feb),2018-02-01,54.1
3848,2018-02-28 19:30:00,Taiwan,Manufacturing PMI,S&P Global Taiwan Manufacturing PMI (Feb),2018-02-01,56.0
3849,2018-02-28 19:30:00,Indonesia,Manufacturing PMI,Nikkei Manufacturing PMI (Feb),2018-02-01,51.4
3851,2018-03-01 01:00:00,Russia,Manufacturing PMI,Russian S&P Global Manufacturing PMI (Feb),2018-02-01,50.2
3852,2018-03-01 01:00:00,Ireland,Manufacturing PMI,AIB Ireland Manufacturing PMI (Feb),2018-02-01,56.2
3853,2018-03-01 02:00:00,Turkiye,Manufacturing PMI,Istanbul Chamber of Industry Turkey Manufacturing PMI (Feb),2018-02-01,55.6
3854,2018-03-01 02:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (Feb),2018-02-01,59.9
3855,2018-03-01 03:00:00,Poland,Manufacturing PMI,S&P Global Poland Manufacturing PMI (Feb),2018-02-01,53.7
3856,2018-03-01 03:00:00,Norway,Manufacturing PMI,Manufacturing PMI (Feb),2018-02-01,57.5
3857,2018-03-01 03:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Feb),2018-02-01,57.4
3858,2018-03-01 03:15:00,Spain,Manufacturing PMI,HCOB Spain Manufacturing PMI (Feb),2018-02-01,56.0
3859,2018-03-01 03:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Feb),2018-02-01,65.5
3860,2018-03-01 03:45:00,Italy,Manufacturing PMI,HCOB Italy Manufacturing PMI (Feb),2018-02-01,56.8
3861,2018-03-01 03:50:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Feb),2018-02-01,55.9
3862,2018-03-01 03:55:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Feb),2018-02-01,60.6
3863,2018-03-01 04:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Feb),2018-02-01,58.6
3864,2018-03-01 04:00:00,South Africa,Manufacturing PMI,Manufacturing PMI,2018-02-01,50.8
3865,2018-03-01 04:00:00,Greece,Manufacturing PMI,S&P Global Greece Manufacturing PMI (Feb),2018-02-01,56.1
3866,2018-03-01 04:30:00,United Kingdom,Manufacturing PMI,S&P Global/CIPS UK Manufacturing PMI (Feb),2018-02-01,55.2
3867,2018-03-01 08:00:00,Brazil,Manufacturing PMI,S&P Global Manufacturing PMI (Feb),2018-02-01,53.2
3868,2018-03-01 09:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Feb),2018-02-01,55.3
3870,2018-03-01 10:30:00,Mexico,Manufacturing PMI,S&P Global Mexico Manufacturing PMI (Feb),2018-02-01,51.6
3871,2018-03-01 19:30:00,Korea,Manufacturing PMI,S&P Global South Korea Manufacturing PMI (Feb),2018-02-01,50.3
3872,2018-03-04 19:30:00,Hong Kong,Manufacturing PMI,S&P Global Hong Kong Manufacturing PMI (Feb),2018-02-01,51.7
3874,2018-03-21 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Mar),2018-03-01,53.2
3875,2018-03-22 03:00:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Mar),2018-03-01,53.6
3876,2018-03-22 03:30:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Mar),2018-03-01,58.4
3877,2018-03-22 04:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Mar),2018-03-01,56.6
3878,2018-03-22 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Mar),2018-03-01,55.7
3879,2018-03-28 03:00:00,Austria,Manufacturing PMI,Unicredit Bank Austria Manufacturing PMI (Mar),2018-03-01,58.0
3880,2018-03-30 20:00:00,China,Manufacturing PMI,Manufacturing PMI (Mar),2018-03-01,51.5
3882,2018-04-01 19:30:00,Korea,Manufacturing PMI,S&P Global South Korea Manufacturing PMI (Mar),2018-03-01,49.1
3883,2018-04-01 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Mar),2018-03-01,53.1
3884,2018-04-01 19:30:00,Taiwan,Manufacturing PMI,S&P Global Taiwan Manufacturing PMI (Mar),2018-03-01,55.3
3885,2018-04-01 19:30:00,Indonesia,Manufacturing PMI,Nikkei Manufacturing PMI (Mar),2018-03-01,50.7
3887,2018-04-02 01:00:00,Russia,Manufacturing PMI,Russian S&P Global Manufacturing PMI (Mar),2018-03-01,50.6
3888,2018-04-02 02:00:00,Turkiye,Manufacturing PMI,Istanbul Chamber of Industry Turkey Manufacturing PMI (Mar),2018-03-01,51.8
3889,2018-04-02 03:00:00,Greece,Manufacturing PMI,S&P Global Greece Manufacturing PMI (Mar),2018-03-01,55.0
3890,2018-04-02 08:00:00,Brazil,Manufacturing PMI,S&P Global Manufacturing PMI (Mar),2018-03-01,53.4
3891,2018-04-02 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Mar),2018-03-01,55.6
3893,2018-04-02 09:30:00,Mexico,Manufacturing PMI,S&P Global Mexico Manufacturing PMI (Mar),2018-03-01,52.4
3894,2018-04-03 00:00:00,Ireland,Manufacturing PMI,AIB Ireland Manufacturing PMI (Mar),2018-03-01,54.1
3895,2018-04-03 00:00:00,India,Manufacturing PMI,S&P Global India Manufacturing PMI (Mar),2018-03-01,51.0
3896,2018-04-03 01:30:00,Sweden,Manufacturing PMI,Manufacturing PMI (Mar),2018-03-01,55.9
3897,2018-04-03 02:00:00,Poland,Manufacturing PMI,S&P Global Poland Manufacturing PMI (Mar),2018-03-01,53.7
3898,2018-04-03 02:00:00,Norway,Manufacturing PMI,Manufacturing PMI (Mar),2018-03-01,55.0
3899,2018-04-03 02:00:00,Hungary,Manufacturing PMI,Manufacturing PMI (Mar),2018-03-01,57.0
3900,2018-04-03 02:15:00,Spain,Manufacturing PMI,HCOB Spain Manufacturing PMI (Mar),2018-03-01,54.8
3901,2018-04-03 02:30:00,Switzerland,Manufacturing PMI,procure.ch PMI (Mar),2018-03-01,60.3
3902,2018-04-03 02:45:00,Italy,Manufacturing PMI,HCOB Italy Manufacturing PMI (Mar),2018-03-01,55.1
3903,2018-04-03 02:50:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Mar),2018-03-01,53.7
3904,2018-04-03 02:55:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Mar),2018-03-01,58.2
3905,2018-04-03 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Mar),2018-03-01,56.6
3906,2018-04-03 03:30:00,United Kingdom,Manufacturing PMI,S&P Global/CIPS UK Manufacturing PMI (Mar),2018-03-01,55.1
3907,2018-04-03 04:00:00,South Africa,Manufacturing PMI,Manufacturing PMI,2018-03-01,46.9
3909,2018-04-05 19:30:00,Hong Kong,Manufacturing PMI,S&P Global Hong Kong Manufacturing PMI (Mar),2018-03-01,50.6
3910,2018-04-22 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Apr),2018-04-01,53.3
3911,2018-04-23 02:00:00,France,Manufacturing PMI,HCOB France Manufacturing PMI (Apr),2018-04-01,53.4
3912,2018-04-23 02:30:00,Germany,Manufacturing PMI,HCOB Germany Manufacturing PMI (Apr),2018-04-01,58.1
3913,2018-04-23 03:00:00,Eurozone,Manufacturing PMI,HCOB Eurozone Manufacturing PMI (Apr),2018-04-01,56.0
3914,2018-04-23 08:45:00,United States,Manufacturing PMI,S&P Global US Manufacturing PMI (Apr),2018-04-01,56.5
3915,2018-04-26 03:00:00,Austria,Manufacturing PMI,Unicredit Bank Austria Manufacturing PMI (Apr),2018-04-01,58.0
3916,2018-04-29 20:00:00,China,Manufacturing PMI,Manufacturing PMI (Apr),2018-04-01,51.4
3918,2018-04-30 19:30:00,Japan,Manufacturing PMI,au Jibun Bank Japan Manufacturing PMI (Apr),2018-04-01,53.8
3919,2018-05-01 00:00:00,Ireland,Manufacturing PMI,AIB Ireland Manufacturing PMI (Apr),2018-04-01,55.3
