,ReportDateTime,Country,Indicator,FullName,Period,Value
6134,2020-04-07 03:00:00,Italy,Retail Sales (YoY),Italian Retail Sales (YoY) (Feb),2020-02-01 00:00:00,5.7
6135,2020-04-07 07:00:00,Brazil,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,4.7
6136,2020-04-07 22:11:00,Indonesia,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,-0.8
6137,2020-04-08 17:45:00,New Zealand,Retail Sales (YoY),Electronic Card Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-1.8
6138,2020-04-13 02:00:00,Turkiye,Retail Sales (YoY),Turkish Retail Sales (YoY),2020-03-01 00:00:00,10.6
6139,2020-04-14 23:30:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Feb),2020-02-01 00:00:00,8.2
6140,2020-04-15 07:30:00,United States,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-6.17
6141,2020-04-15 10:00:00,Colombia,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,13.2
6142,2020-04-16 21:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-15.8
6143,2020-04-22 03:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-7.1
6144,2020-04-23 06:00:00,Mexico,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,2.5
6145,2020-04-23 14:00:00,Argentina,Retail Sales (YoY),Retail Sales (YoY),2020-03-01 00:00:00,72.7
6147,2020-04-24 01:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-5.8
6148,2020-04-27 01:00:00,Denmark,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-3.7
6149,2020-04-27 08:00:00,Russia,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,5.6
6150,2020-04-28 02:30:00,Sweden,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,0.6
6151,2020-04-29 02:00:00,Spain,Retail Sales (YoY),Spanish Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-14.1
6152,2020-04-29 18:50:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-4.6
6153,2020-04-29 23:30:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Mar),2020-03-01 00:00:00,0.8
6154,2020-04-30 01:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-2.8
6155,2020-04-30 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-5.6
6156,2020-04-30 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-5.6
6157,2020-04-30 04:00:00,Greece,Retail Sales (YoY),Greek Retail Sales (YoY) (Feb),2020-02-01 00:00:00,3.5
6158,2020-04-30 05:00:00,Ireland,Retail Sales (YoY),Irish Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-11.1
6159,2020-04-30 08:00:00,Chile,Retail Sales (YoY),Retail Sales (YoY),2020-04-01 00:00:00,-14.9
6160,2020-05-05 00:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-13.3
6161,2020-05-05 03:30:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-42.0
6162,2020-05-06 02:00:00,Czechia,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-8.9
6163,2020-05-06 02:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,3.5
6164,2020-05-06 04:00:00,Eurozone,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-9.2
6165,2020-05-07 03:00:00,Italy,Retail Sales (YoY),Italian Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-18.4
6166,2020-05-10 17:45:00,New Zealand,Retail Sales (YoY),Electronic Card Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-47.5
6167,2020-05-12 01:30:00,Indonesia,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-4.5
6168,2020-05-13 07:00:00,Brazil,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-1.2
6169,2020-05-14 02:00:00,Turkiye,Retail Sales (YoY),Turkish Retail Sales (YoY),2020-04-01 00:00:00,-0.2
6170,2020-05-14 10:00:00,Colombia,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-4.8
6171,2020-05-14 21:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-7.5
6172,2020-05-15 07:30:00,United States,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-21.61
6173,2020-05-20 06:00:00,South Africa,Retail Sales (YoY),Retail Sales (YoY) (Feb),2020-02-01 00:00:00,2.0
6175,2020-05-22 01:00:00,United Kingdom,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-22.6
6176,2020-05-22 03:00:00,Poland,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-22.6
6177,2020-05-22 06:00:00,Mexico,Retail Sales (YoY),Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-1.3
6178,2020-05-26 01:00:00,Denmark,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-2.6
6179,2020-05-26 10:00:00,Russia,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-23.4
6180,2020-05-26 14:00:00,Argentina,Retail Sales (YoY),Retail Sales (YoY),2020-05-01 00:00:00,-32.9
6181,2020-05-28 02:00:00,Spain,Retail Sales (YoY),Spanish Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-31.6
6182,2020-05-28 18:50:00,Japan,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-13.7
6183,2020-05-28 23:30:00,Netherlands,Retail Sales (YoY),Dutch Retail Sales (YoY) (Apr),2020-04-01 00:00:00,0.0
6184,2020-05-29 01:00:00,Germany,Retail Sales (YoY),German Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-6.5
6185,2020-05-29 04:00:00,Greece,Retail Sales (YoY),Greek Retail Sales (YoY) (Mar),2020-03-01 00:00:00,-3.1
6186,2020-05-29 05:00:00,Ireland,Retail Sales (YoY),Irish Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-43.3
6187,2020-05-29 08:00:00,Chile,Retail Sales (YoY),Retail Sales (YoY),2020-05-01 00:00:00,-31.3
6188,2020-06-01 03:30:00,Hong Kong,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-36.1
6189,2020-06-02 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-19.9
6190,2020-06-02 01:30:00,Switzerland,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-19.9
6191,2020-06-04 02:00:00,Hungary,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-10.2
6192,2020-06-04 04:00:00,Eurozone,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-19.6
6193,2020-06-05 00:00:00,Singapore,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-40.5
6194,2020-06-05 02:00:00,Czechia,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-10.6
6195,2020-06-05 03:00:00,Italy,Retail Sales (YoY),Italian Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-26.3
6196,2020-06-10 17:45:00,New Zealand,Retail Sales (YoY),Electronic Card Retail Sales (YoY) (May),2020-05-01 00:00:00,-6.0
6197,2020-06-12 02:00:00,Turkiye,Retail Sales (YoY),Turkish Retail Sales (YoY),2020-05-01 00:00:00,-19.3
6198,2020-06-12 10:00:00,Colombia,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-42.9
6199,2020-06-14 21:00:00,China,Retail Sales (YoY),Retail Sales (YoY) (May),2020-05-01 00:00:00,-2.8
6200,2020-06-15 22:06:00,Indonesia,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-16.9
6201,2020-06-16 07:00:00,Brazil,Retail Sales (YoY),Retail Sales (YoY) (Apr),2020-04-01 00:00:00,-16.8
