,ReportDateTime,Country,Indicator,FullName,Period,Value
141,1999-05-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.7
143,1999-05-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.5
145,1999-05-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.92
146,1999-05-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.2
147,1999-05-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Apr),1999-04-01 00:00:00,0.3
148,1999-05-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.3
149,1999-05-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.2
150,1999-05-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Apr),1999-04-01 00:00:00,0.5
151,1999-05-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Apr),1999-04-01 00:00:00,0.3
152,1999-05-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.3
153,1999-05-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Apr),1999-04-01 00:00:00,0.4
154,1999-05-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.56
156,1999-05-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (Apr),1999-04-01 00:00:00,0.42
157,1999-05-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (Apr),1999-04-01 00:00:00,0.41
158,1999-05-01 04:00:00,China,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,-1.0
159,1999-05-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,-0.15
160,1999-05-01 04:00:00,Saudi Arabia,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,-0.1
161,1999-05-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.8
162,1999-05-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,3.0
163,1999-05-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.3
165,1999-05-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.3
167,1999-05-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.38
168,1999-05-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (Apr),1999-04-01 00:00:00,0.6
169,1999-05-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.0
170,1999-05-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.1
171,1999-05-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.78
172,1999-05-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (Apr),1999-04-01 00:00:00,0.59
174,1999-06-01 04:00:00,Chile,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.12
175,1999-06-01 04:00:00,Portugal,CPI (MoM),Portuguese CPI (MoM) (May),1999-05-01 00:00:00,0.1
176,1999-06-01 04:00:00,Philippines,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.0
177,1999-06-01 04:00:00,Czechia,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.0
178,1999-06-01 04:00:00,Colombia,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.48
179,1999-06-01 04:00:00,Peru,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.47
180,1999-06-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.3
183,1999-06-01 04:00:00,United States,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.1
185,1999-06-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.2
187,1999-06-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.6
188,1999-06-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.2
189,1999-06-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (May),1999-05-01 00:00:00,0.1
190,1999-06-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,-0.2
191,1999-06-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,-0.2
192,1999-06-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (May),1999-05-01 00:00:00,0.0
193,1999-06-01 04:00:00,France,CPI (MoM),French CPI (MoM) (May),1999-05-01 00:00:00,0.0
194,1999-06-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.5
195,1999-06-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (May),1999-05-01 00:00:00,0.0
196,1999-06-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.3
198,1999-06-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (May),1999-05-01 00:00:00,0.56
199,1999-06-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (May),1999-05-01 00:00:00,0.16
200,1999-06-01 04:00:00,China,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,-1.3
201,1999-06-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.18
202,1999-06-01 04:00:00,Saudi Arabia,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.5
203,1999-06-01 04:00:00,Poland,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.7
204,1999-06-01 04:00:00,Russia,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,2.1
205,1999-06-01 04:00:00,Norway,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,-0.2
207,1999-06-01 04:00:00,Eurozone,CPI (MoM),CPI (MoM) (May),1999-05-01 00:00:00,0.1
208,1999-07-01 04:00:00,United Kingdom,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,-0.1
211,1999-07-01 04:00:00,United States,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.0
213,1999-07-01 04:00:00,Canada,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.2
215,1999-07-01 04:00:00,Mexico,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.66
216,1999-07-01 04:00:00,Sweden,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.2
217,1999-07-01 04:00:00,Italy,CPI (MoM),Italian CPI (MoM) (Jun),1999-06-01 00:00:00,0.0
218,1999-07-01 04:00:00,Korea,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,-0.6
219,1999-07-01 04:00:00,Switzerland,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.1
220,1999-07-01 04:00:00,Germany,CPI (MoM),German CPI (MoM) (Jun),1999-06-01 00:00:00,0.1
221,1999-07-01 04:00:00,France,CPI (MoM),French CPI (MoM) (Jun),1999-06-01 00:00:00,0.0
222,1999-07-01 04:00:00,Israel,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.3
223,1999-07-01 04:00:00,Spain,CPI (MoM),Spanish CPI (MoM) (Jun),1999-06-01 00:00:00,0.0
224,1999-07-01 04:00:00,Brazil,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.19
226,1999-07-01 04:00:00,Ireland,CPI (MoM),Irish CPI (MoM) (Jun),1999-06-01 00:00:00,0.28
227,1999-07-01 04:00:00,Belgium,CPI (MoM),Belgium CPI (MoM) (Jun),1999-06-01 00:00:00,-0.2
228,1999-07-01 04:00:00,China,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,-1.8
229,1999-07-01 04:00:00,Taiwan,CPI (MoM),CPI (MoM) (Jun),1999-06-01 00:00:00,0.12
