,United States,Japan,United Kingdom,Canada,Switzerland,Germany,Australia,Spain,Italy,Eurozone,China,India,Korea,Brazil,Turkiye,Russia,ACWI
2000-01-26,,,,,,,,,134.65,,,,,,,,
2000-01-27,,,,,,,,,135.43,,,,,,,,
2000-01-28,,,,,,,,,137.19,,,,,,,,
2000-01-31,,,,,,,,,137.47,,,,,,,,
2000-02-01,,,,,,,,,135.29,,,,,,,,
2000-02-02,,,,,,,,,138.37,,,,,,,,
2000-02-03,,,,,,,,,140.69,,,,,,,,
2000-02-04,,,,,,,,,144.24,,,,,,,,
2000-02-07,,,,,,,,,144.99,,,,,,,,
2000-02-08,,,,,,,,,143.71,,,,,,,,
2000-02-09,,,,,,,,,147.67,,,,,,,,
2000-02-10,,,,,,,,,146.97,,,,,,,,
2000-02-11,,,,,,,,,149.61,,,,,,,,
2000-02-14,,,,,,,,,154.46,,,,,,,,
2000-02-15,,,,,,,,,158.14,,,,,,,,
2000-02-16,,,,,,,,,151.79,,,,,,,,
2000-02-17,,,,,,,,,153.26,,,,,,,,
2000-02-18,,,,,,,,,154.72,,,,,,,,
2000-02-21,,,,,,,,,154.86,,,,,,,,
2000-02-22,,,,,,,,,152.49,,,,,,,,
2000-02-23,,,,,,,,,152.84,,,,,,,,
2000-02-24,,,,,,,,,156.69,,,,,,,,
2000-02-25,,,,,,,,,157.08,,,,,,,,
2000-02-28,,,,,,,,,161.68,,,,,,,,
2000-02-29,,,,,,,,,161.54,,,,,,,,
2000-03-01,,,,,,,,,163.88,,,,,,,,
2000-03-02,,,,,,,,,164.94,,,,,,,,
2000-03-03,,,,,,,,,167.63,,,,,,,,
2000-03-06,,,,,,,,,167.87,,,,,,,,
2000-03-07,,,,,,,,,169.47,,,,,,,,
2000-03-08,,,,,,,,,164.9,,,,,,,,
2000-03-09,,,,,,,,,164.77,,,,,,,,
2000-03-10,,,,,,,,,167.36,,,,,,,,
2000-03-13,,,,,,,,,168.24,,,,,,,,
2000-03-14,,,,,,,,,164.67,,,,,,,,
2000-03-15,,,,,,,,,164.42,,,,,,,,
2000-03-16,,,,,,,,,158.61,,,,,,,,
2000-03-17,,,,,,,,,161.01,,,,,,,,
2000-03-20,,,,,,,,,162.67,,,,,,,,
2000-03-21,,,,,,,,,160.7,,,,,,,,
2000-03-22,,,,,,,,,158.66,,,,,,,,
2000-03-23,,,,,,,,,155.48,,,,,,,,
2000-03-24,,,,,,,,,154.84,,,,,,,,
2000-03-27,,,,,,,,,158.63,,,,,,,,
2000-03-28,,,,,,,,,158.63,,,,,,,,
2000-03-29,,,,,,,,,157.47,,,,,,,,
2000-03-30,,,,,,,,,156.72,,,,,,,,
2000-03-31,,,,,,,,,154.18,,,,,,,,
2000-04-03,,,,,,,,,155.88,,,,,,,,
2000-04-04,,,,,,,,,150.38,,,,,,,,
2000-04-05,,,,,,,,,152.69,,,,,,,,
2000-04-06,,,,,,,,,149.39,,,,,,,,
2000-04-07,,,,,,,,,153.5,,,,,,,,
2000-04-10,,,,,,,,,154.4,,,,,,,,
2000-04-11,,,,,,,,,154.14,,,,,,,,
2000-04-12,,,,,,,,,150.8,,,,,,,,
2000-04-13,,,,,,,,,151.15,,,,,,,,
2000-04-14,,,,,,,,,151.56,,,,,,,,
2000-04-17,,,,,,,,,147.81,,,,,,,,
2000-04-18,,,,,,,,,146.03,,,,,,,,
2000-04-19,,,,,,,,,147.19,,,,,,,,
2000-04-20,,,,,,,,,147.09,,,,,,,,
2000-04-21,,,,,,,,,147.09,,,,,,,,
2000-04-24,,,,,,,,,151.17,,,,,,,,
2000-04-25,,,,,,,,,151.03,,,,,,,,
2000-04-26,,,,,,,,,153.35,,,,,,,,
2000-04-27,,,,,,,,,152.96,,,,,,,,
2000-04-28,,,,,,,,,152.21,,,,,,,,
2000-05-01,,,,,,,,,154.41,,,,,,,,
2000-05-02,,,,,,,,,154.41,,,,,,,,
2000-05-03,,,,,,,,,158.99,,,,,,,,
2000-05-04,,,,,,,,,155.88,,,,,,,,
2000-05-05,,,,,,,,,158.73,,,,,,,,
2000-05-08,,,,,,,,,159.15,,,,,,,,
2000-05-09,,,,,,,,,158.37,,,,,,,,
2000-05-10,,,,,,,,,155.83,,,,,,,,
2000-05-11,,,,,,,,,155.12,,,,,,,,
2000-05-12,,,,,,,,,156.73,,,,,,,,
2000-05-15,,,,,,,,,158.25,,,,,,,,
2000-05-16,,,,,,,,,158.24,,,,,,,,
2000-05-17,,,,,,,,,160.91,,,,,,,,
2000-05-18,,,,,,,,,157.44,,,,,,,,
2000-05-19,,,,,,,,,158.21,,,,,,,,
2000-05-22,,,,,,,,,152.08,,,,,,,,
2000-05-23,,,,,,,,,149.11,,,,,,,,
2000-05-24,,,,,,,,,152.56,,,,,,,,
2000-05-25,,,,,,,,,150.62,,,,,,,,
2000-05-26,,,,,,,,,153.73,,,,,,,,
2000-05-29,,,,,,,,,153.68,,,,,,,,
2000-05-30,,,,,,,,,154.99,,,,,,,,
2000-05-31,,,,,,,,,154.99,,,,,,,,
2000-06-01,,,,,,,,,156.85,,,,,,,,
2000-06-02,,,,,,,,,158.93,,,,,,,,
2000-06-05,,,,,,,,,160.23,,,,,,,,
2000-06-06,,,,,,,,,159.22,,,,,,,,
2000-06-07,,,,,,,,,157.97,,,,,,,,
2000-06-08,,,,,,,,,159.9,,,,,,,,
2000-06-09,,,,,,,,,159.9,,,,,,,,
2000-06-12,,,,,,,,,159.12,,,,,,,,
2000-06-13,,,,,,,,,159.55,,,,,,,,
2000-06-14,,,,,,,,,160.09,,,,,,,,
2000-06-15,,,,,,,,,161.34,,,,,,,,
2000-06-16,,,,,,,,,161.05,,,,,,,,
2000-06-19,,,,,,,,,159.01,,,,,,,,
2000-06-20,,,,,,,,,159.11,,,,,,,,
2000-06-21,,,,,,,,,159.41,,,,,,,,
2000-06-22,,,,,,,,,159.41,,,,,,,,
2000-06-23,,,,,,,,,158.51,,,,,,,,
2000-06-26,,,,,,,,,158.77,,,,,,,,
2000-06-27,,,,,,,,,159.33,,,,,,,,
2000-06-28,,,,,,,,,158.38,,,,,,,,
2000-06-29,,,,,,,,,160.02,,,,,,,,
2000-06-30,,,,,,,,,157.02,,,,,,,,
2000-07-03,,,,,,,,,159.66,,,,,,,,
2000-07-04,,,,,,,,,161.01,,,,,,,,
2000-07-05,,,,,,,,,160.87,,,,,,,,
2000-07-06,,,,,,,,,160.84,,,,,,,,
2000-07-07,,,,,,,,,162.1,,,,,,,,
2000-07-10,,,,,,,,,164.29,,,,,,,,
2000-07-11,,,,,,,,,164.02,,,,,,,,
2000-07-12,,,,,,,,,165.11,,,,,,,,
2000-07-13,,,,,,,,,165.15,,,,,,,,
2000-07-14,,,,,,,,,166.36,,,,,,,,
2000-07-17,,,,,,,,,166.22,,,,,,,,
2000-07-18,,,,,,,,,166.47,,,,,,,,
2000-07-19,,,,,,,,,165.53,,,,,,,,
2000-07-20,,,,,,,,,165.69,,,,,,,,
2000-07-21,,,,,,,,,167.03,,,,,,,,
2000-07-24,,,,,,,,,165.57,,,,,,,,
2000-07-25,,,,,,,,,164.67,,,,,,,,
2000-07-26,,,,,,,,,164.92,,,,,,,,
