,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Sweden,Spain,Italy,Belgium,Norway,Israel,Ireland,Austria,China,Taiwan,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Argentina,Russia
2015-07-01,0.4,0.11,0.39,0.35,0.21,0.56,0.39,1.02,0.35,1.37,0.91,0.21,0.19,0.97,0.13,2.58,0.67,1.7,-0.58,1.85,1.46,-1.56,0.53,0.45,1.16,1.25,1.4,1.34,-0.12,0.19
2015-10-01,0.18,-0.17,0.58,0.07,0.2,0.48,0.45,0.59,0.02,0.76,0.97,0.49,0.42,-0.73,1.1,1.13,0.18,1.6,-0.42,2.03,0.69,-0.77,0.1,0.43,-0.31,1.3,1.17,0.81,-1.08,-0.26
2016-01-01,0.58,0.72,0.36,0.55,0.62,0.36,0.84,0.92,0.92,-0.09,0.68,0.35,0.06,0.46,0.09,-2.52,0.78,1.6,1.64,2.9,0.27,-1.63,-0.3,0.24,-0.02,1.2,0.36,-0.22,-0.89,0.19
2016-04-01,0.32,-0.13,0.56,-0.49,-0.37,0.7,0.48,0.67,0.24,0.05,0.41,0.2,0.55,-0.03,2.9,0.94,0.15,1.8,1.29,1.78,1.23,0.76,1.36,0.1,0.32,1.26,1.43,1.47,-1.63,0.05
2016-07-01,0.71,0.2,0.37,1.03,0.39,0.71,0.2,0.04,1.12,0.29,0.86,0.53,0.18,-0.31,1.01,0.14,0.53,1.7,0.6,2.29,0.41,-0.83,-0.31,-0.01,0.93,1.22,-2.87,0.57,0.34,0.1
2016-10-01,0.55,0.15,0.64,0.56,0.6,0.17,0.38,1.09,0.84,0.92,0.54,0.37,0.51,1.34,1.32,10.91,1.07,1.6,0.3,1.36,0.6,-0.03,1.63,0.08,1.08,1.2,5.51,1.96,0.64,0.83
2017-01-01,0.49,0.78,0.84,1.26,0.63,0.02,1.2,0.37,0.52,0.38,0.79,0.48,0.65,1.13,0.34,-2.58,0.27,1.7,1.22,0.8,0.98,1.08,-2.26,0.47,0.64,1.26,1.37,1.19,0.88,0.2
2017-04-01,0.56,0.39,0.64,1.05,0.88,0.28,0.92,0.62,0.88,1.43,1.02,0.44,0.24,0.96,1.09,0.75,0.61,1.8,0.62,2.06,0.76,0.62,1.16,0.55,0.09,1.25,2.28,0.97,1.06,0.69
2017-07-01,0.79,0.82,0.64,0.03,0.89,0.56,0.63,0.91,0.71,0.84,0.63,0.38,-0.06,0.69,1.59,5.11,0.68,1.6,1.2,1.65,1.39,0.41,0.53,0.18,-0.6,1.26,1.52,1.46,1.27,0.68
2017-10-01,1.13,0.12,0.72,0.51,0.6,1.03,0.95,0.43,0.74,0.27,0.54,0.55,0.8,-0.57,1.38,4.2,0.66,1.6,0.56,1.88,-0.32,0.52,-0.18,0.39,1.29,1.28,1.88,1.36,0.98,0.02
2018-01-01,0.81,0.08,0.06,1.16,-0.01,0.99,-0.6,1.05,0.51,0.25,0.43,-0.1,0.37,0.49,1.1,0.64,0.66,1.8,0.83,2.15,1.25,0.27,0.73,0.53,1.38,1.28,1.27,1.84,-0.36,1.36
2018-04-01,0.53,0.36,0.17,0.78,0.46,1.12,0.81,0.75,0.65,1.18,0.59,0.06,0.45,0.3,0.46,1.8,0.23,1.7,0.54,1.31,0.69,0.45,0.55,-0.25,-0.44,1.25,0.59,1.4,-4.49,0.56
2018-07-01,0.62,-0.56,0.33,0.5,0.45,-0.35,-0.93,0.41,0.12,-0.89,0.52,0.08,0.39,0.63,0.93,0.46,0.42,1.4,0.5,1.4,0.62,0.76,1.73,1.23,0.51,1.27,-0.96,1.23,-0.25,0.24
2018-10-01,0.14,-0.13,0.13,0.24,0.55,0.21,0.86,0.24,0.49,1.46,0.66,0.3,0.98,0.03,0.85,1.48,1.3,1.3,0.43,1.48,0.64,-0.37,1.25,0.28,-0.15,1.26,-3.45,0.96,-1.44,0.66
2019-01-01,0.54,0.23,0.73,0.24,0.69,0.08,0.69,0.58,0.83,0.34,0.61,0.09,0.26,-0.44,1.83,1.24,0.56,1.6,0.49,1.03,-0.07,0.48,-1.38,-0.87,0.13,1.23,1.56,1.42,0.08,-0.04
2019-04-01,0.83,0.37,0.32,1.09,0.66,0.6,-0.04,0.33,0.3,0.78,0.35,0.33,0.54,0.86,-0.22,1.83,-0.54,1.5,1.67,1.45,1.09,0.35,-0.01,0.45,-0.13,1.26,2.27,0.92,0.89,2.26
2019-07-01,1.13,0.15,0.73,0.28,0.08,0.46,-0.02,0.56,0.21,-0.01,0.3,0.06,0.73,0.57,1.23,1.36,0.39,1.4,0.6,0.56,0.42,0.1,-0.14,0.11,-0.2,1.19,0.53,0.73,0.03,-0.98
2019-10-01,0.64,-2.75,-0.02,0.29,-0.4,0.55,0.3,0.47,0.57,0.62,0.22,-0.65,0.59,0.83,0.87,1.5,-0.57,1.3,1.07,0.15,1.22,0.82,1.56,-0.04,-0.81,1.05,1.34,0.64,-1.54,-0.45
2020-01-01,-1.36,0.51,-2.72,-1.95,-5.31,-1.45,-1.77,-0.18,-1.33,-0.52,-5.38,-6.04,-2.81,-0.95,-1.72,3.07,-2.49,-10.4,-0.37,0.1,-1.28,-2.18,-3.03,0.24,-1.19,-0.63,0.18,0.72,-4.35,-0.2
2020-04-01,-7.89,-7.76,-20.32,-11.0,-13.14,-6.58,-9.22,-6.95,-8.35,-8.01,-17.64,-11.71,-11.39,-5.19,-8.17,-5.52,-11.27,11.5,-1.07,-22.55,-3.02,-8.95,-4.92,-16.89,-19.03,-6.89,-10.71,-9.14,-14.53,-4.49
2020-07-01,7.76,5.52,16.78,9.08,17.51,6.87,8.91,3.71,6.38,7.35,16.24,13.73,11.75,3.61,9.2,12.44,11.28,3.4,4.67,22.56,2.32,7.99,1.45,13.73,15.39,3.27,16.41,6.75,11.28,2.78
2020-10-01,1.04,1.85,1.36,1.88,-0.64,0.43,0.78,3.45,0.64,0.66,0.24,-0.4,-0.41,0.78,2.44,-5.02,-2.19,2.6,2.71,6.31,1.35,3.67,2.42,2.74,4.32,2.33,1.47,0.14,4.82,0.74
2021-01-01,1.29,0.28,-1.02,1.44,0.05,0.31,-1.27,2.18,1.21,1.06,0.4,1.61,1.81,0.64,0.18,10.97,-1.33,0.7,2.45,1.38,1.79,1.05,-1.17,0.64,0.47,1.05,2.03,2.32,3.57,0.68
2021-04-01,1.52,0.37,7.33,-0.31,0.9,2.59,2.23,0.86,3.04,1.58,2.09,2.56,1.93,0.44,3.82,2.68,3.99,1.2,-1.97,-7.51,0.88,-0.68,2.03,1.3,0.7,0.33,1.71,2.56,0.0,3.19
2021-07-01,0.81,-0.43,1.72,1.68,2.95,2.12,0.67,-1.91,2.04,2.21,2.32,2.77,2.19,3.94,2.29,3.26,4.29,0.6,0.9,9.34,0.13,0.19,4.39,-1.88,-0.39,0.05,3.65,2.11,2.69,-0.79
2021-10-01,1.7,1.12,1.52,1.57,0.53,0.23,0.01,4.25,0.74,2.11,1.99,0.81,0.76,0.03,4.28,-2.91,-0.29,1.7,3.89,1.98,1.4,0.96,2.43,1.37,1.12,3.24,1.57,1.8,2.32,
2022-01-01,-0.5,-0.6,0.53,0.96,-0.1,-0.06,1.0,0.48,0.49,-0.88,0.26,0.09,0.12,-0.74,-0.6,6.13,0.64,0.8,0.96,0.49,0.66,0.98,2.54,1.53,1.55,1.02,0.21,3.27,0.76,
2022-04-01,-0.14,1.08,0.09,0.94,0.39,0.98,-0.13,0.76,1.72,0.85,2.49,1.39,0.7,1.13,1.54,2.44,1.86,-2.3,-2.31,0.95,0.75,1.3,1.19,-0.84,0.99,0.91,1.41,-0.77,1.71,
2022-07-01,0.66,-0.1,-0.09,0.46,0.5,0.25,0.36,0.2,0.13,0.78,0.53,0.3,0.31,1.9,0.65,3.49,-0.16,3.7,0.88,1.98,0.23,1.05,1.23,1.77,1.22,0.8,0.54,0.62,0.45,
2022-10-01,0.64,0.25,0.13,-0.22,0.0,-0.03,-0.41,0.85,0.7,-0.85,0.49,-0.15,0.24,-0.67,1.08,-1.58,-0.11,0.8,-0.25,1.14,-0.3,-0.12,1.16,-1.09,0.68,2.34,1.15,-2.28,-1.8,
2023-01-01,0.56,1.23,0.32,0.61,0.06,0.31,0.0,0.53,-0.48,0.5,0.56,0.57,0.41,0.21,0.76,-1.88,0.09,2.3,-1.0,2.08,0.33,1.44,-1.12,0.41,0.57,0.84,-0.25,1.1,0.89,
2023-04-01,0.51,0.88,0.19,0.34,0.61,-0.13,0.14,0.44,-0.42,-0.81,0.44,-0.38,0.33,-0.51,0.81,-0.36,-1.11,0.5,1.82,1.89,0.61,0.98,-0.51,0.46,0.93,0.87,3.31,0.3,-2.84,
2023-07-01,1.26,-0.73,-0.03,-0.27,-0.11,0.27,-0.13,0.21,-0.19,-0.29,0.32,0.1,0.4,-0.52,0.7,-1.91,-0.52,1.3,1.9,1.74,0.62,0.14,-3.18,-0.25,1.07,0.81,0.27,1.49,,
