Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Greece,GRC,-5.1155828729177,-7.52537978913507,-6.89835566386782,-6.20816077609579,-6.33137485844822,-5.59942022897061,-7.34996387367016,-10.8121877663106,-13.9789444009951,-14.4129814805407,-10.849584081935,-10.1851459570818,-10.1059101857679,-2.55014449772779,-2.07157049132439,-1.58614697539269,-0.823468297481204,-1.68837124621958,-1.80440119084225,-2.94672922643045,-1.51620180923825,-6.57031433891417,-6.44928196548642,-9.77967847244319
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Hungary,HUN,-8.37316170546344,-8.83884703380859,-6.1202055106571,-6.45098818485992,-8.25455096874065,-9.07203733400082,-9.87694875083312,-7.27842222201558,-7.28307096663554,-7.02666669121284,-0.680581806166548,0.258479557471018,0.624587935617537,1.54460562715563,3.43886285910523,1.13774676343237,2.33715658785807,4.55246110276036,1.93481360578556,0.258467747165692,-0.750143510279243,-1.0285240501115,-3.8187426452333,-7.9937141344099
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,India,IND,-0.70354820631743,-0.982343805635065,0.290494936396436,1.3709411110454,1.44356106282279,0.110018663965381,-1.25350731467244,-0.988988302947644,-0.663717643278795,-2.58337747387565,-1.95146209112721,-3.25348372191402,-3.42928468606061,-5.00488974769844,-2.6456671355592,-1.33950897087224,-1.06754907817712,-0.527880605052541,-1.43948820293751,-2.42697545971004,-1.04961204447008,1.2251124820741,-1.06092393903536,-2.33526862530833
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,"Hong Kong SAR, China",HKG,6.43398804532036,4.39495311826481,6.13423210834762,7.89242453465896,10.7870611277598,9.94811890844345,11.8823201660439,12.6877200746448,13.0222244661186,14.990989803542,9.88359042348122,7.00327276302268,5.55641787886819,1.57916246660721,1.52003210528648,1.39201104718813,3.31756278823982,3.95440937584328,4.57729182218877,3.73603565842398,5.85365330095732,6.99412189485111,11.8344290930311,10.5350570177952
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Indonesia,IDN,4.13060184583257,4.84306452849134,4.30104853135351,3.99852690784087,3.45304287667862,0.60856132991737,0.0970882462357339,2.97870868003062,2.42726412696792,0.0246933252771075,1.9697705622352,0.681277286873318,0.188703954019777,-2.66027359461967,-3.18996482895809,-3.08816907533633,-2.03504192738489,-1.81915089252126,-1.59465689988042,-2.93907291486963,-2.70566198130856,-0.418606247730893,0.295886970724441,0.960514361783446
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Ireland,IRL,..,..,..,..,..,..,-3.37203846174545,-3.3862109692366,-5.12758716999565,-5.55568075659423,-2.11779729016475,1.04529949217188,1.1836742386097,-3.41648641795262,1.55724239891013,1.0749731639216,4.42547883988195,-4.18631203596402,1.01004837284337,6.26584966551358,-11.2525465127354,-6.43686759545406,14.32427041965,8.99788947294843
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Israel,ISR,-1.57216463198862,-1.5116735737256,-1.5088672662214,-1.03198495303942,0.483476811094301,1.68081612700548,3.08673963342875,4.39068063706073,2.98061069922172,1.2198806948968,3.53326703028139,3.45966538856423,1.70469972169934,0.374672570280161,2.92910308517184,4.17389285564071,5.31870160115547,3.95516598434308,3.68613218420722,2.91471913383938,3.58316932843596,5.35360049847142,4.19794997283199,3.48165431389466
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Japan,JPN,2.46175310702324,2.6304554483536,1.97087169355986,2.60256560577514,3.0839379549121,3.71938350458585,3.52114102912066,3.79586210941397,4.62330162774973,2.78294218549251,2.75409551373788,3.83547896264376,2.07915328846556,0.958442611412041,0.889785415808863,0.742322049627637,3.0702796590698,3.93809128404803,4.12036966283801,3.51661817468288,3.45076611445329,2.97158206814151,3.93872757953459,2.14984798783669
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Italy,ITA,0.797177510168201,-0.270933687749188,0.155317844415399,-0.491647995845654,-0.768790406982167,-0.497026061316597,-0.899507101205331,-1.4527229699455,-1.36143428419417,-2.75676025621801,-1.83691265703513,-3.31535429352573,-2.823890502689,-0.245779424694012,1.15618758899073,1.86445189260356,1.43573384558626,2.64699630732524,2.70681137901309,2.58066934226131,3.29828816430451,3.92693456186538,3.08911052013865,-1.32598929411591
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,"Korea, Rep.",KOR,4.3787026478858,1.76695361202539,0.395356059004163,0.648246377373027,1.60922457506583,3.69274116176405,1.30587074686126,0.198895404647633,0.893090036031799,0.167376554283072,3.50525819794571,2.44308251589734,1.32763278413308,3.81645379756594,5.63606438083111,5.59378702637593,7.17154582534087,6.52776101762567,4.63272557766522,4.49121354966825,3.61361701036494,4.61604389814664,4.70625493127051,1.79138146949607
