,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Hong Kong,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Thailand,Indonesia,Malaysia,Turkiye,Philippines,Poland,Chile,Greece,Peru,Hungary,Czechia,Colombia,Argentina,Russia
2000-04-05,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.5,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.39,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.6,33.0
2000-04-06,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.5,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,13.84,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.51,33.0
2000-04-07,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.5,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,13.62,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.72,33.0
2000-04-10,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.5,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,13.4,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.79,33.0
2000-04-11,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.5,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.02,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.89,33.0
2000-04-12,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.5,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.24,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.82,33.0
2000-04-13,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,13.48,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.65,33.0
2000-04-14,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.34,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.53,33.0
2000-04-17,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.66,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.61,33.0
2000-04-18,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,5.75,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.23,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.61,33.0
2000-04-19,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.56,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.83,33.0
2000-04-20,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.56,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.83,33.0
2000-04-21,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.56,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.83,33.0
2000-04-24,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.69,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.83,33.0
2000-04-25,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,13.96,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.7,33.0
2000-04-26,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.6,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,13.66,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.58,33.0
2000-04-27,6.0,0.25,6.0,5.25,3.5,3.0,3.5,5.75,3.5,3.85,3.75,3.5,7.5,3.5,3.5,3.5,5.75,9.3,3.5,6.0,3.5,3.5,5.85,7.0,5.0,18.5,6.25,11.75,14.19,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.46,33.0
2000-04-28,6.0,0.25,6.0,5.25,3.75,3.0,3.75,5.75,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.25,11.75,14.46,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.31,33.0
2000-05-01,6.0,0.25,6.0,5.25,3.75,3.0,3.75,5.75,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.25,11.75,14.46,,,5.5,,8.75,17.5,5.5,,,11.0,5.25,12.0,6.31,33.0
2000-05-02,6.0,0.25,6.0,5.25,3.75,3.0,3.75,5.75,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.25,11.75,13.97,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.15,33.0
2000-05-03,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.39,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.47,33.0
2000-05-04,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.3,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.05,33.0
2000-05-05,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.3,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.21,33.0
2000-05-08,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.5,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.04,33.0
2000-05-09,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.56,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.07,33.0
2000-05-10,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.28,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.48,33.0
2000-05-11,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.2,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.53,33.0
2000-05-12,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.18,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.54,33.0
2000-05-15,6.0,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.09,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.51,33.0
2000-05-16,6.5,0.25,6.0,5.25,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,7.5,3.75,3.75,3.75,5.75,9.3,3.75,6.0,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.11,,,5.5,,9.0,17.5,5.5,,,11.0,5.25,12.0,7.45,33.0
2000-05-17,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.47,,,5.5,,9.5,17.5,5.5,,,11.0,5.25,12.0,7.36,33.0
2000-05-18,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.45,,,5.5,,9.5,17.5,5.5,,,11.0,5.25,12.0,6.98,33.0
2000-05-19,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,6.75,11.75,14.27,,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.85,33.0
2000-05-22,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,14.34,,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.75,33.0
2000-05-23,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,14.92,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.68,33.0
2000-05-24,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.21,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.87,33.0
2000-05-25,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.31,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.87,33.0
2000-05-26,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.74,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.98,33.0
2000-05-29,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.67,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.67,33.0
2000-05-30,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.73,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.65,33.0
2000-05-31,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.23,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.82,33.0
2000-06-01,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,15.69,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.51,33.0
2000-06-02,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,15.18,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.37,33.0
2000-06-05,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,14.96,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.4,33.0
2000-06-06,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,15.6,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.45,33.0
2000-06-07,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.66,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.15,33.0
2000-06-08,6.5,0.25,6.0,5.75,3.75,3.0,3.75,6.0,3.75,4.1,3.75,3.75,8.0,3.75,3.75,3.75,5.75,9.3,3.75,6.5,3.75,3.75,5.85,7.0,5.0,18.5,7.0,11.75,16.16,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.84,33.0
2000-06-09,6.5,0.25,6.0,5.75,4.25,3.0,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,5.75,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,17.04,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.9,33.0
2000-06-12,6.5,0.25,6.0,5.75,4.25,3.0,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,5.75,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.58,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.86,33.0
2000-06-13,6.5,0.25,6.0,5.75,4.25,3.0,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,5.75,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.29,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.17,33.0
2000-06-14,6.5,0.25,6.0,5.75,4.25,3.0,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,5.75,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.04,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.52,33.0
2000-06-15,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.03,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.71,33.0
2000-06-16,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.82,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.78,33.0
2000-06-19,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.36,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.78,33.0
2000-06-20,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,18.5,7.0,11.75,16.37,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.49,33.0
2000-06-21,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,16.38,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.36,33.0
2000-06-22,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,16.35,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.34,33.0
2000-06-23,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,16.82,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.76,33.0
2000-06-26,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,17.14,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.51,33.0
2000-06-27,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,18.14,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.61,33.0
2000-06-28,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,18.08,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.72,33.0
2000-06-29,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,18.06,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.74,33.0
2000-06-30,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,18.06,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.13,33.0
2000-07-03,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,15.92,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.38,33.0
2000-07-04,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,16.06,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.36,33.0
2000-07-05,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,15.2,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.04,33.0
2000-07-06,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,14.37,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.86,33.0
2000-07-07,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.5,7.0,11.75,14.0,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.81,33.0
2000-07-10,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,14.09,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.69,28.0
2000-07-11,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,14.06,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.78,28.0
2000-07-12,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,14.06,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.8,28.0
2000-07-13,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,13.91,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.15,28.0
2000-07-14,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,14.07,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.45,28.0
2000-07-17,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,13.94,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.74,28.0
2000-07-18,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,13.86,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.49,28.0
2000-07-19,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,17.0,7.0,11.75,13.92,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.37,28.0
2000-07-20,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,16.5,7.0,11.75,13.7,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,7.05,28.0
2000-07-21,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,7.0,5.0,16.5,7.0,11.75,13.85,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.91,28.0
2000-07-24,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,8.0,5.0,16.5,7.0,11.75,13.61,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.84,28.0
2000-07-25,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,8.0,5.0,16.5,7.0,11.75,13.59,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.79,28.0
2000-07-26,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.3,4.25,6.5,4.25,4.25,5.85,8.0,5.0,16.5,7.0,11.75,13.6,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.79,28.0
2000-07-27,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.1,4.25,6.5,4.25,4.25,5.85,8.0,5.0,16.5,7.0,11.75,13.41,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.55,28.0
2000-07-28,6.5,0.25,6.0,5.75,4.25,3.5,4.25,6.0,4.25,4.7,3.75,4.25,8.0,4.25,4.25,4.25,6.25,9.1,4.25,6.5,4.25,4.25,5.85,8.0,5.0,16.5,7.0,11.75,13.39,1.5,,5.5,,10.0,17.5,5.5,,,11.0,5.25,12.0,6.59,28.0
