Year,Month,Day,Interbank Overnight
,,12,0.50
,,13,0.06
,,14,0.50
,,15,0.63
,,16,0.50
,,18,0.38
,,19,0.38
,,20,0.31
,,21,0.25
,,22,0.50
,,23,0.38
,,25,0.13
,,26,0.25
,,27,0.19
,,28,0.50
,,29,0.38
,,30,0.38
,Dec,02,0.38
,,03,0.63
,,04,0.50
,,05,0.63
,,07,0.63
,,09,0.38
,,10,0.38
,,11,0.25
,,12,0.69
,,13,0.63
,,14,0.63
,,16,0.44
,,17,0.63
,,18,0.56
,,19,0.63
,,20,0.50
,,21,0.69
,,23,0.50
,,24,0.25
,,26,0.38
,,27,0.50
,,28,0.50
,,30,0.75
,,31,0.38
2003,Jan,02,0.38
,,03,0.50
,,04,0.63
,,06,0.88
,,07,0.88
,,08,0.63
,,09,0.63
,,10,0.56
,,11,0.50
,,13,0.38
,,14,0.31
,,15,0.38
,,16,0.25
,,17,0.75
,,18,0.56
,,20,0.50
,,21,0.25
,,22,0.13
,,23,0.50
,,24,0.63
,,25,0.63
,,27,0.63
,,28,0.63
,,29,0.63
,,30,0.50
,,31,0.13
,Feb,04,0.06
,,05,0.19
,,06,0.50
,,07,0.44
,,08,0.50
,,10,0.31
,,11,0.25
,,13,0.38
,,14,0.50
,,15,0.50
,,17,0.63
,,18,0.38
,,19,0.38
,,20,0.50
,,21,0.63
,,22,0.50
,,24,0.63
,,25,0.69
,,26,0.69
,,27,0.69
,,28,0.75
,Mar,01,0.69
,,03,0.13
,,04,0.06
,,05,0.25
,,06,0.50
,,07,0.50
,,08,0.31
,,10,0.63
,,11,0.69
,,12,0.69
,,13,0.69
,,14,0.63
,,15,0.38
,,17,0.69
,,18,0.25
,,19,0.13
,,20,0.50
,,21,0.63
,,22,0.63
,,24,0.63
,,25,0.69
,,26,0.63
,,27,0.69
,,28,0.75
,,29,0.63
,,31,0.81
,Apr,01,0.81
,,02,0.81
,,03,0.75
,,04,0.63
,,05,0.63
,,07,0.63
,,08,0.38
,,09,0.31
,,10,0.25
,,11,0.50
,,12,0.38
,,14,0.44
,,15,0.44
,,16,0.38
,,17,0.38
,,19,0.38
,,21,0.25
,,22,0.50
,,23,0.31
,,24,0.38
,,25,0.56
,,26,0.50
,,28,0.56
,,29,0.25
,,30,0.13
,May,02,0.63
,,03,0.63
,,05,0.63
,,06,0.63
,,07,0.75
,,08,0.75
,,09,0.50
,,10,0.50
,,12,0.44
,,13,0.63
,,14,0.56
,,16,0.63
,,17,0.63
,,19,0.38
,,20,0.50
,,21,0.50
,,22,0.50
,,23,0.56
,,24,0.50
,,26,0.56
,,27,0.69
,,28,0.13
,,29,0.63
,,30,0.63
,,31,0.63
,Jun,02,0.50
,,03,0.63
,,04,0.56
,,05,0.50
,,06,0.56
,,07,0.44
,,09,0.38
,,10,0.38
,,11,0.13
,,12,0.44
,,13,0.38
,,14,0.25
,,16,0.38
,,17,0.44
,,18,0.56
,,19,0.56
,,20,0.56
,,21,0.50
,,23,0.38
,,24,0.38
,,25,0.44
,,26,0.50
,,27,0.50
,,28,0.50
,,30,0.44
,Jul,01,0.38
,,02,0.31
,,03,0.38
,,04,0.44
,,05,0.38
,,07,0.50
,,08,0.63
,,09,0.31
,,10,0.56
,,11,0.56
,,12,0.50
,,14,0.50
,,15,0.50
,,16,0.38
,,17,0.63
,,18,0.50
,,19,0.50
,,21,0.50
,,22,0.25
,,23,0.13
,,24,0.50
,,25,0.50
,,26,0.50
,,28,0.50
,,29,0.50
,,30,0.56
,,31,0.75
,Aug,01,0.81
,,02,0.75
,,04,0.63
,,05,0.75
,,06,0.63
,,07,0.75
,,08,0.69
,,11,0.75
,,12,0.75
,,13,0.75
,,14,0.75
,,15,0.88
,,16,0.75
,,18,0.75
,,19,0.88
,,20,0.81
,,21,0.81
,,22,0.69
,,23,0.81
,,25,0.75
,,26,0.69
,,27,0.88
,,28,0.63
,,29,0.88
,,30,0.75
,Sep,01,0.81
,,02,0.75
,,03,0.50
,,04,0.75
,,05,0.63
,,06,0.63
,,08,0.56
,,09,0.56
,,10,0.50
,,11,0.25
,,12,0.44
,,13,0.50
,,15,0.50
,,16,0.44
,,17,0.25
,,18,0.56
,,19,0.56
,,20,0.38
,,22,0.56
,,23,0.50
,,24,0.50
,,25,0.50
,,26,0.56
,,27,0.50
,,29,0.44
,,30,0.44
,Oct,01,0.13
,,02,0.50
,,03,0.50
,,04,0.50
,,06,0.38
,,07,0.56
,,08,0.44
,,09,0.50
,,10,0.56
,,11,0.38
,,13,0.38
,,14,0.50
,,15,0.38
,,16,0.69
,,17,0.69
,,18,0.50
,,20,0.63
,,21,0.69
,,22,0.63
,,23,0.44
,,25,0.38
,,27,0.25
,,28,0.38
,,29,0.25
,,30,0.63
,,31,0.38
,Nov,01,0.25
,,03,0.56
,,04,0.38
,,05,0.38
,,06,0.25
,,07,0.25
,,08,0.25
,,10,0.06
,,11,0.19
,,12,0.06
,,13,0.31
,,14,0.25
,,15,0.25
,,17,0.44
,,18,0.38
,,19,0.31
,,20,0.50
,,21,0.38
,,22,0.38
,,24,0.38
,,26,0.31
,,27,0.38
,,28,0.19
,,29,0.13
,Dec,01,0.25
,,02,0.19
,,03,0.19
,,04,0.19
,,05,0.25
,,06,0.19
,,08,0.25
,,09,0.31
,,10,0.31
,,11,0.38
,,12,0.44
,,13,0.25
,,15,0.44
,,16,0.44
,,17,0.44
,,18,0.38
,,19,0.38
,,20,0.38
,,22,0.25
,,23,0.31
,,24,0.13
,,26,0.38
,,27,0.25
,,29,0.44
,,30,0.44
,,31,0.63
2004,Jan,02,0.44
,,03,0.38
,,05,0.44
,,06,0.31
,,07,0.13
,,08,0.56
,,09,0.56
,,10,0.56
,,12,0.50
,,13,0.50
,,14,0.50
,,15,0.56
,,16,0.56
,,17,0.88
,,19,0.69
,,20,0.63
,,21,0.75
,,24,0.50
,,26,0.94
,,27,0.75
,,28,0.81
,,29,0.81
,,30,0.63
,,31,0.63
,Feb,03,0.63
,,04,0.25
,,05,0.75
,,06,0.63
,,07,0.63
,,09,0.75
,,10,0.63
,,11,0.56
,,12,0.38
,,13,0.13
,,14,0.50
,,16,0.06
,,17,0.19
,,18,0.13
,,19,0.50
,,20,0.19
,,21,0.25
,,23,0.13
,,24,0.38
,,25,0.38
,,26,0.38
,,27,0.56
,,28,0.50
,Mar,01,0.13
,,02,0.50
,,03,0.50
,,04,0.56
,,05,0.63
,,06,0.63
,,08,0.50
,,09,0.38
,,10,0.13
,,11,0.25
,,12,0.38
,,13,0.38
,,15,0.19
,,16,0.38
,,17,0.44
,,18,0.31
,,19,0.38
,,20,0.50
,,22,0.25
,,23,0.38
,,24,0.44
,,25,0.50
,,26,0.38
,,27,0.38
,,29,0.50
,,30,0.50
,,31,0.56
,Apr,01,0.50
,,02,0.38
,,03,0.38
,,05,0.38
,,06,0.38
,,07,0.50
,,08,0.38
,,10,0.38
,,12,0.19
,,13,0.13
,,14,0.13
,,15,0.19
,,16,0.38
,,17,0.38
,,19,0.25
,,20,0.13
,,21,0.13
,,22,0.13
,,23,0.38
,,24,0.38
,,26,0.25
,,27,0.19
,,28,0.06
,,29,0.38
,,30,0.50
,May,03,0.50
,,04,0.50
,,05,0.56
,,06,0.63
,,07,0.63
,,08,0.50
,,10,0.69
,,11,0.63
,,12,0.56
,,13,0.56
,,14,0.31
,,15,0.25
,,17,0.44
,,18,0.38
,,19,0.19
,,20,0.44
,,21,0.38
,,22,0.38
,,24,0.25
,,25,0.25
,,26,0.19
,,27,0.38
,,28,0.50
,,29,0.44
,,31,0.38
,Jun,01,0.44
,,03,0.44
,,04,0.38
,,05,0.44
,,07,0.56
,,08,0.56
,,09,0.38
,,10,0.50
,,11,0.50
,,12,0.38
,,14,0.50
,,15,0.50
,,16,0.44
,,17,0.44
,,18,0.50
,,19,0.50
,,21,0.38
,,22,0.38
,,23,0.31
,,24,0.50
,,25,0.44
,,26,0.44
,,28,0.44
,,29,0.50
,,30,0.44
,Jul,01,0.50
,,02,0.63
,,03,0.50
,,05,0.69
,,06,1.00
,,07,1.13
,,08,1.00
,,09,1.25
,,10,0.88
,,12,1.38
,,13,0.56
,,14,1.00
,,15,0.69
,,16,0.25
,,17,0.50
,,19,0.50
,,20,0.25
,,21,0.19
,,22,0.63
,,23,0.63
,,24,0.38
,,26,0.63
,,27,0.69
,,28,0.50
,,29,0.56
,,30,0.69
,,31,0.75
,Aug,02,0.75
,,03,0.81
,,04,0.38
,,05,0.81
,,06,0.75
,,07,0.75
,,10,0.88
,,11,0.94
,,12,0.94
,,13,1.00
,,14,0.63
,,16,0.88
,,17,0.94
,,18,1.13
,,19,1.00
,,20,1.13
,,21,0.94
,,23,1.06
,,24,1.13
,,25,1.13
,,26,1.25
,,27,1.38
,,28,1.25
,,30,1.00
,,31,0.38
,Sep,01,0.63
,,02,1.13
,,03,1.13
,,04,1.00
,,06,1.13
,,07,1.13
,,08,1.25
,,09,1.25
,,10,1.25
